RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
1,2,0.14414414414414414,14,34,1,1,8,0.17307692307692307,3
1,2,0.14514514514514515,14,36,1,1,9,0.17673992673992675,3
1,2,0.14614614614614616,14,36,1,1,6,0.15476190476190474,3
1,2,0.14714714714714713,14,40,1,1,6,0.13369963369963372,3
1,2,0.14814814814814814,14,38,1,1,7,0.1465201465201465,3
1,2,0.14914914914914915,14,34,1,1,7,0.16758241758241757,3
1,2,0.15015015015015015,14,36,1,1,7,0.17857142857142855,3
1,2,0.15115115115115116,14,34,1,1,8,0.16117216117216113,3
1,2,0.15215215215215216,14,34,1,1,10,0.19597069597069594,2
1,2,0.15315315315315314,14,38,1,1,7,0.14468864468864467,3
1,2,0.15415415415415415,14,42,1,1,5,0.13095238095238096,3
0,2,0.15515515515515516,14,34,1,1,6,0.15109890109890106,3
1,2,0.15615615615615616,14,36,1,1,7,0.16300366300366295,3
1,2,0.15715715715715717,14,38,1,1,6,0.15293040293040291,3
1,2,0.15815815815815815,14,42,1,1,7,0.1456043956043956,3
1,2,0.15915915915915915,14,38,1,1,6,0.14102564102564102,3
1,2,0.16016016016016016,14,38,1,1,9,0.17124542124542125,3
1,2,0.16116116116116116,14,28,1,1,10,0.20695970695970692,2
0,2,0.16216216216216217,14,34,1,1,8,0.18040293040293037,3
1,2,0.16316316316316315,14,46,1,1,5,0.12454212454212453,3
1,2,0.16416416416416416,14,36,1,1,8,0.16666666666666666,2
1,2,0.16516516516516516,14,36,1,1,7,0.16666666666666666,2
1,2,0.16616616616616617,14,36,1,1,6,0.1510989010989011,3
0,2,0.16716716716716717,14,34,1,1,10,0.1858974358974359,3
1,2,0.16816816816816815,14,38,1,1,10,0.1776556776556776,3
1,2,0.16916916916916916,14,32,1,1,8,0.1794871794871795,3
0,2,0.17017017017017017,14,28,1,1,10,0.21245421245421242,3
1,2,0.17117117117117117,14,36,1,1,7,0.16575091575091577,2
0,2,0.17217217217217218,14,30,1,1,8,0.19047619047619044,2
1,2,0.17317317317317318,14,38,1,1,7,0.16483516483516486,3
1,2,0.17417417417417416,14,38,1,1,6,0.15018315018315015,3
0,2,0.17517517517517517,14,32,1,1,7,0.1804029304029304,3
0,2,0.17617617617617617,14,36,1,1,8,0.16208791208791204,3
1,2,0.17717717717717718,14,42,1,1,7,0.1474358974358974,3
1,2,0.1781781781781782,14,38,1,1,7,0.15567765567765565,3
1,2,0.17917917917917917,14,38,1,1,5,0.1346153846153846,3
1,2,0.18018018018018017,14,40,1,1,7,0.14926739926739924,2
1,2,0.18118118118118118,14,34,1,1,10,0.1822344322344322,3
0,2,0.18218218218218218,14,36,1,1,6,0.15476190476190474,3
0,2,0.1831831831831832,14,34,1,1,7,0.1675824175824176,3
1,2,0.1841841841841842,14,46,1,1,8,0.14926739926739926,3
1,2,0.18518518518518517,14,40,1,1,6,0.14835164835164832,3
1,2,0.18618618618618618,14,40,1,1,7,0.15934065934065936,3
1,2,0.1871871871871872,14,40,1,1,7,0.15934065934065936,3
1,2,0.1881881881881882,14,36,1,1,8,0.16391941391941392,3
1,2,0.1891891891891892,14,38,1,1,6,0.1291208791208791,3
1,2,0.19019019019019018,14,44,1,1,6,0.13553113553113552,2
1,2,0.19119119119119118,14,36,1,1,8,0.18223443223443223,3
1,2,0.1921921921921922,14,38,1,1,8,0.16391941391941395,3
1,2,0.1931931931931932,14,40,1,1,7,0.15476190476190474,3
0,2,0.1941941941941942,14,44,1,1,6,0.1465201465201465,3
1,2,0.19519519519519518,14,42,1,1,6,0.13003663003663002,3
0,2,0.1961961961961962,14,34,1,1,10,0.18681318681318682,3
0,2,0.1971971971971972,14,42,1,1,6,0.1474358974358974,3
1,2,0.1981981981981982,14,32,1,1,10,0.19139194139194138,3
1,2,0.1991991991991992,14,50,1,1,5,0.11813186813186813,3
